EAN	Produkt	Kategorie	UVP	LieferbarAb
113124	Schönes Produkt	Epoxy Flooring		16.03.2022
117105	Soup - Campbells, Chix Gumbo	Electrical and Fire Alarm		31.01.2022
125634	Coffee Guatemala Dark	Epoxy Flooring	362.58	
137586	Daves Island Stinger	Landscaping & Irrigation	681.52	
144118	Chilli Paste, Hot Sambal Oelek	Epoxy Flooring		
168465	Pork Salted Bellies	Epoxy Flooring	452.94	
169951	Soap - Mr.clean Floor Soap	Epoxy Flooring	336.41	
174951	Radish - Black, Winter, Organic	Casework	211.06	
199389	Bagel - Whole White Sesame	Drywall & Acoustical (FED)		
212060	Cheese - St. Paulin	Casework	719.38	
222397	Steam Pan Full Lid	Overhead Doors	742.71	
223315	Pastry - Trippleberry Muffin - Mini	Electrical and Fire Alarm		08.09.2022
235385	Lemonade - Strawberry, 591 Ml	Overhead Doors		08.09.2022
237103	Garlic	Electrical and Fire Alarm	357.65	
255154	Garbage Bag - Clear	RF Shielding	818.61	
282989	Chef Hat 25cm	Wall Protection		
286166	Duck - Legs	RF Shielding		
287026	Worcestershire Sauce	Casework		04.09.2022
289154	Figs	Retaining Wall and Brick Pavers		09.10.2022
309083	Truffle Cups Green	Overhead Doors	381.62	
311657	Longos - Lasagna Beef	Landscaping & Irrigation	105.95	
318611	Squid U5 - Thailand	Electrical and Fire Alarm	98.97	20.10.2022
349170	Apple - Custard	RF Shielding	941.61	
361151	Pasta - Canelloni, Single Serve	RF Shielding	124.69	29.07.2022
365644	Jello - Assorted	Casework	394.54	
366521	Wine - Remy Pannier Rose	Masonry & Precast	187.13	
374933	Pie Shell - 9	Epoxy Flooring	253.81	
376392	Salmon Steak - Cohoe 8 Oz	Overhead Doors		
376517	Sansho Powder	Drywall & Acoustical (FED)	844.6	
381362	Soup - Tomato Mush. Florentine	Landscaping & Irrigation	539.67	
385745	Juice - Cranberry 284ml	Casework		11.10.2022
389109	Magnotta - Bel Paese White	Electrical and Fire Alarm	541.4	
389257	Pickles - Gherkins	Epoxy Flooring		
395445	Table Cloth 62x120 White	Wall Protection		27.09.2022
403796	Pepper - Black, Whole	Drywall & Acoustical (FED)	384.73	
411942	Longos - Chicken Curried	Landscaping & Irrigation	934.59	
703797	Foam Cup 6 Oz	Landscaping & Irrigation	278.98	11.03.2022
421460	Pastry - Butterscotch Baked	Landscaping & Irrigation	36.5	
426423	Compound - Rum	Retaining Wall and Brick Pavers	96.01	
447890	Orange Roughy 4/6 Oz	Casework	593.94	
448395	Yoplait - Strawbrasp Peac	Casework	820.48	
457598	Pickerel - Fillets	Masonry & Precast		26.04.2022
460282	Bread - Dark Rye	Wall Protection	60.8	
462491	Syrup - Monin - Blue Curacao	Overhead Doors		23.01.2022
464021	Carbonated Water - Raspberry	Epoxy Flooring	747.74	
464042	Ice Cream Bar - Oreo Sandwich	RF Shielding	235.51	
468671	Taro Root	Landscaping & Irrigation	517.92	08.10.2022
476192	Wine - Magnotta - Cab Franc	Wall Protection		
477690	Flour Pastry Super Fine	Wall Protection	912.29	
478020	Nestea - Ice Tea, Diet	Casework		13.09.2022
484133	Beans - Kidney White	Wall Protection		06.08.2022
